state,Postal Code,Year,population
Alaska,AK,1950,0.135
Alaska,AK,1951,0.158
Alaska,AK,1952,0.189
Alaska,AK,1953,0.205
Alaska,AK,1954,0.215
Alaska,AK,1955,0.222
Alaska,AK,1956,0.224
Alaska,AK,1957,0.231
Alaska,AK,1958,0.224
Alaska,AK,1959,0.224
Alaska,AK,1960,0.229
Alaska,AK,1961,0.238
Alaska,AK,1962,0.246
Alaska,AK,1963,0.256
Alaska,AK,1964,0.263
Alaska,AK,1965,0.271
Alaska,AK,1966,0.271
Alaska,AK,1967,0.278
Alaska,AK,1968,0.285
Alaska,AK,1969,0.296
Alaska,AK,1970,0.302583
Alaska,AK,1971,0.31551
Alaska,AK,1972,0.324464
Alaska,AK,1973,0.330543
Alaska,AK,1974,0.341063
Alaska,AK,1975,0.37617
Alaska,AK,1976,0.400969
Alaska,AK,1977,0.403436
Alaska,AK,1978,0.404766
Alaska,AK,1979,0.402753
Alaska,AK,1980,0.405315
Alaska,AK,1981,0.418491
Alaska,AK,1982,0.449606
Alaska,AK,1983,0.488417
Alaska,AK,1984,0.513702
Alaska,AK,1985,0.532495
Alaska,AK,1986,0.544268
Alaska,AK,1987,0.539309
Alaska,AK,1988,0.541983
Alaska,AK,1989,0.547159
Alaska,AK,1990,0.55312
Alaska,AK,1991,0.569273
Alaska,AK,1992,0.587073
Alaska,AK,1993,0.596993
Alaska,AK,1994,0.600624
Alaska,AK,1995,0.601345
Alaska,AK,1996,0.604918
Alaska,AK,1997,0.608846
Alaska,AK,1998,0.615205
Alaska,AK,1999,0.6195
Alaska,AK,2000,0.627963
Alaska,AK,2001,0.633714
Alaska,AK,2002,0.642337
Alaska,AK,2003,0.648414
Alaska,AK,2004,0.659286
Alaska,AK,2005,0.666946
Alaska,AK,2006,0.675302
Alaska,AK,2007,0.6803
Alaska,AK,2008,0.687455
Alaska,AK,2009,0.698895
Alaska,AK,2010,0.714015
Alaska,AK,2011,0.722259
Alaska,AK,2012,0.730825
Alaska,AK,2013,0.73676
Alaska,AK,2014,0.736759
Alaska,AK,2015,0.737979
Alaska,AK,2016,0.741522
Alaska,AK,2017,0.739795
Alabama,Ala.,1950,3.058
Alabama,Ala.,1951,3.059
Alabama,Ala.,1952,3.068
Alabama,Ala.,1953,3.053
Alabama,Ala.,1954,3.014
Alabama,Ala.,1955,3.05
Alabama,Ala.,1956,3.071
Alabama,Ala.,1957,3.109
Alabama,Ala.,1958,3.163
Alabama,Ala.,1959,3.204
Alabama,Ala.,1960,3.274
Alabama,Ala.,1961,3.316
Alabama,Ala.,1962,3.323
Alabama,Ala.,1963,3.358
Alabama,Ala.,1964,3.395
Alabama,Ala.,1965,3.443
Alabama,Ala.,1966,3.464
Alabama,Ala.,1967,3.458
Alabama,Ala.,1968,3.446
Alabama,Ala.,1969,3.44
Alabama,Ala.,1970,3.444354
Alabama,Ala.,1971,3.497076
Alabama,Ala.,1972,3.5394
Alabama,Ala.,1973,3.57978
Alabama,Ala.,1974,3.626499
Alabama,Ala.,1975,3.678814
Alabama,Ala.,1976,3.735139
Alabama,Ala.,1977,3.780403
Alabama,Ala.,1978,3.831836
Alabama,Ala.,1979,3.866248
Alabama,Ala.,1980,3.900368
Alabama,Ala.,1981,3.918531
Alabama,Ala.,1982,3.925266
Alabama,Ala.,1983,3.934102
Alabama,Ala.,1984,3.95182
Alabama,Ala.,1985,3.972523
Alabama,Ala.,1986,3.991569
Alabama,Ala.,1987,4.015264
Alabama,Ala.,1988,4.023844
Alabama,Ala.,1989,4.030222
Alabama,Ala.,1990,4.048508
Alabama,Ala.,1991,4.091025
Alabama,Ala.,1992,4.139269
Alabama,Ala.,1993,4.193114
Alabama,Ala.,1994,4.232965
Alabama,Ala.,1995,4.262731
Alabama,Ala.,1996,4.290403
Alabama,Ala.,1997,4.320281
Alabama,Ala.,1998,4.351037
Alabama,Ala.,1999,4.369862
Alabama,Ala.,2000,4.452173
Alabama,Ala.,2001,4.467634
Alabama,Ala.,2002,4.480089
Alabama,Ala.,2003,4.503491
Alabama,Ala.,2004,4.530729
Alabama,Ala.,2005,4.569805
Alabama,Ala.,2006,4.628981
Alabama,Ala.,2007,4.67284
Alabama,Ala.,2008,4.718206
Alabama,Ala.,2009,4.757938
Alabama,Ala.,2010,4.785579
Alabama,Ala.,2011,4.798649
Alabama,Ala.,2012,4.813946
Alabama,Ala.,2013,4.82766
Alabama,Ala.,2014,4.840037
Alabama,Ala.,2015,4.850858
Alabama,Ala.,2016,4.860545
Alabama,Ala.,2017,4.874747
Arizona,AZ,1950,0.756
Arizona,AZ,1951,0.785
Arizona,AZ,1952,0.842
Arizona,AZ,1953,0.894
Arizona,AZ,1954,0.933
Arizona,AZ,1955,0.987
Arizona,AZ,1956,1.053
Arizona,AZ,1957,1.125
Arizona,AZ,1958,1.193
Arizona,AZ,1959,1.261
Arizona,AZ,1960,1.321
Arizona,AZ,1961,1.407
Arizona,AZ,1962,1.471
Arizona,AZ,1963,1.521
Arizona,AZ,1964,1.556
Arizona,AZ,1965,1.584
Arizona,AZ,1966,1.614
Arizona,AZ,1967,1.646
Arizona,AZ,1968,1.682
Arizona,AZ,1969,1.737
Arizona,AZ,1970,1.775399
Arizona,AZ,1971,1.895814
Arizona,AZ,1972,2.008291
Arizona,AZ,1973,2.124438
Arizona,AZ,1974,2.223196
Arizona,AZ,1975,2.284847
Arizona,AZ,1976,2.346157
Arizona,AZ,1977,2.425197
Arizona,AZ,1978,2.515316
Arizona,AZ,1979,2.635571
Arizona,AZ,1980,2.737774
Arizona,AZ,1981,2.810107
Arizona,AZ,1982,2.889861
Arizona,AZ,1983,2.968925
Arizona,AZ,1984,3.067135
Arizona,AZ,1985,3.183538
Arizona,AZ,1986,3.308262
Arizona,AZ,1987,3.437103
Arizona,AZ,1988,3.535183
Arizona,AZ,1989,3.622185
Arizona,AZ,1990,3.679056
Arizona,AZ,1991,3.762394
Arizona,AZ,1992,3.867333
Arizona,AZ,1993,3.99339
Arizona,AZ,1994,4.147561
Arizona,AZ,1995,4.306908
Arizona,AZ,1996,4.432308
Arizona,AZ,1997,4.552207
Arizona,AZ,1998,4.667277
Arizona,AZ,1999,4.778332
Arizona,AZ,2000,5.160586
Arizona,AZ,2001,5.273477
Arizona,AZ,2002,5.396255
Arizona,AZ,2003,5.510364
Arizona,AZ,2004,5.652404
Arizona,AZ,2005,5.839077
Arizona,AZ,2006,6.029141
Arizona,AZ,2007,6.167681
Arizona,AZ,2008,6.280362
Arizona,AZ,2009,6.343154
Arizona,AZ,2010,6.407002
Arizona,AZ,2011,6.465488
Arizona,AZ,2012,6.544211
Arizona,AZ,2013,6.616124
Arizona,AZ,2014,6.706435
Arizona,AZ,2015,6.802262
Arizona,AZ,2016,6.908642
Arizona,AZ,2017,7.01627
Arkansas,AR,1950,1.908
Arkansas,AR,1951,1.901
Arkansas,AR,1952,1.838
Arkansas,AR,1953,1.78
Arkansas,AR,1954,1.734
Arkansas,AR,1955,1.725
Arkansas,AR,1956,1.704
Arkansas,AR,1957,1.733
Arkansas,AR,1958,1.726
Arkansas,AR,1959,1.756
Arkansas,AR,1960,1.789
Arkansas,AR,1961,1.806
Arkansas,AR,1962,1.853
Arkansas,AR,1963,1.875
Arkansas,AR,1964,1.897
Arkansas,AR,1965,1.894
Arkansas,AR,1966,1.899
